Week,ethereum: (United States)
2017-11-12,10
2017-11-19,18
2017-11-26,31
2017-12-03,35
2017-12-10,46
2017-12-17,40
2017-12-24,21
2017-12-31,33
2018-01-07,49
2018-01-14,37
2018-01-21,18
2018-01-28,19
2018-02-04,17
2018-02-11,12
2018-02-18,11
2018-02-25,8
2018-03-04,8
2018-03-11,8
2018-03-18,9
2018-03-25,9
2018-04-01,7
2018-04-08,6
2018-04-15,6
2018-04-22,7
2018-04-29,8
2018-05-06,8
2018-05-13,6
2018-05-20,6
2018-05-27,5
2018-06-03,4
2018-06-10,6
2018-06-17,5
2018-06-24,5
2018-07-01,4
2018-07-08,4
2018-07-15,4
2018-07-22,4
2018-07-29,4
2018-08-05,6
2018-08-12,8
2018-08-19,4
2018-08-26,4
2018-09-02,5
2018-09-09,6
2018-09-16,3
2018-09-23,3
2018-09-30,3
2018-10-07,3
2018-10-14,3
2018-10-21,3
2018-10-28,3
2018-11-04,3
2018-11-11,3
2018-11-18,3
2018-11-25,3
2018-12-02,4
2018-12-09,3
2018-12-16,3
2018-12-23,4
2018-12-30,3
2019-01-06,3
2019-01-13,3
2019-01-20,2
2019-01-27,2
2019-02-03,2
2019-02-10,2
2019-02-17,3
2019-02-24,3
2019-03-03,2
2019-03-10,2
2019-03-17,2
2019-03-24,2
2019-03-31,3
2019-04-07,3
2019-04-14,2
2019-04-21,2
2019-04-28,2
2019-05-05,3
2019-05-12,5
2019-05-19,3
2019-05-26,3
2019-06-02,3
2019-06-09,2
2019-06-16,4
2019-06-23,5
2019-06-30,3
2019-07-07,7
2019-07-14,8
2019-07-21,2
2019-07-28,2
2019-08-04,2
2019-08-11,2
2019-08-18,2
2019-08-25,2
2019-09-01,1
2019-09-08,2
2019-09-15,2
2019-09-22,2
2019-09-29,2
2019-10-06,2
2019-10-13,1
2019-10-20,2
2019-10-27,1
2019-11-03,2
2019-11-10,2
2019-11-17,2
2019-11-24,2
2019-12-01,2
2019-12-08,1
2019-12-15,2
2019-12-22,2
2019-12-29,2
2020-01-05,2
2020-01-12,3
2020-01-19,2
2020-01-26,2
2020-02-02,3
2020-02-09,5
2020-02-16,4
2020-02-23,3
2020-03-01,2
2020-03-08,3
2020-03-15,3
2020-03-22,2
2020-03-29,2
2020-04-05,2
2020-04-12,2
2020-04-19,3
2020-04-26,4
2020-05-03,3
2020-05-10,3
2020-05-17,3
2020-05-24,3
2020-05-31,3
2020-06-07,3
2020-06-14,3
2020-06-21,3
2020-06-28,3
2020-07-05,3
2020-07-12,3
2020-07-19,4
2020-07-26,7
2020-08-02,8
2020-08-09,6
2020-08-16,5
2020-08-23,4
2020-08-30,6
2020-09-06,4
2020-09-13,3
2020-09-20,3
2020-09-27,3
2020-10-04,3
2020-10-11,3
2020-10-18,4
2020-10-25,4
2020-11-01,4
2020-11-08,5
2020-11-15,8
2020-11-22,12
2020-11-29,10
2020-12-06,7
2020-12-13,10
2020-12-20,10
2020-12-27,16
2021-01-03,50
2021-01-10,35
2021-01-17,26
2021-01-24,29
2021-01-31,41
2021-02-07,47
2021-02-14,46
2021-02-21,42
2021-02-28,26
2021-03-07,31
2021-03-14,26
2021-03-21,20
2021-03-28,29
2021-04-04,32
2021-04-11,45
2021-04-18,43
2021-04-25,42
2021-05-02,100
2021-05-09,97
2021-05-16,79
2021-05-23,64
2021-05-30,43
2021-06-06,35
2021-06-13,28
2021-06-20,34
2021-06-27,23
2021-07-04,19
2021-07-11,17
2021-07-18,20
2021-07-25,23
2021-08-01,39
2021-08-08,38
2021-08-15,29
2021-08-22,25
2021-08-29,36
2021-09-05,33
2021-09-12,21
2021-09-19,25
2021-09-26,20
2021-10-03,25
2021-10-10,27
2021-10-17,37
2021-10-24,39
2021-10-31,39
2021-11-07,45
2021-11-14,38
2021-11-21,30
2021-11-28,35
2021-12-05,32
2021-12-12,30
2021-12-19,23
2021-12-26,24
2022-01-02,30
2022-01-09,28
2022-01-16,27
2022-01-23,33
2022-01-30,20
2022-02-06,19
2022-02-13,17
2022-02-20,17
2022-02-27,15
2022-03-06,13
